Unnamed: 0,asin,helpful,reviewerID,reviewerName,unixReviewTime,reviewTime,overall,reviewText,summary
0,B00ABC1016,"[1, 3]",A1XYZ001,Sandra L.,1367366400,12 4 2012,4,This book is absolutely amazing. The author has an incredible ability to draw you in and keep you hooked. An absolute must have.,Changed my perspective
1,B00ABC1301,"[0, 0]",A1XYZ002,Mark D.,1367452800,12 21 2015,5,This is a must read! The author explains complex ideas in a simple and accessible way. I finished it in two days and immediately bought the sequel.,Truly remarkable
2,B00ABC1194,"[2, 5]",A1XYZ003,James T.,1367539200,03 7 2014,5,This book is absolutely amazing. I came away with a completely new understanding of the subject. Five stars without hesitation.,"A revelation, landmark publication"
3,B00ABC1316,"[1, 7]",A1XYZ004,Amanda Q.,1367625600,07 3 2014,5,Absolutely loved this book. The author clearly put a lot of effort into this book. An absolute must have.,Brilliant masterpiece
4,B00ABC1194,"[0, 0]",A1XYZ005,Melissa R.,1367712000,05 3 2013,1,Very poor content. The content is recycled and the author adds nothing new to the conversation. Not worth the price.,"Full of errors, avoid"
5,B00ABC1087,"[2, 3]",A1XYZ006,Charles Q.,1367798400,12 22 2012,5,"Absolutely loved this book. The research is thorough and the conclusions are very insightful. Buy it now, you will not regret it.","Loved it, flawless execution"
6,B00ABC1397,"[4, 4]",A1XYZ007,Amanda X.,1367884800,04 22 2014,4,Captivating and thoroughly enjoyable. The research is thorough and the conclusions are very insightful. A worthwhile investment.,"Essential reading, one of the best"
7,B00ABC1255,"[0, 4]",A1XYZ008,Susan Q.,1367971200,04 19 2014,5,"Fantastic read from start to finish. I came away with a completely new understanding of the subject. Buy it now, you will not regret it.","Essential reading, one of the best"
8,B00ABC1204,"[2, 3]",A1XYZ009,Stephanie J.,1368057600,12 19 2015,5,"Excellent book, very well researched. The research is thorough and the conclusions are very insightful. An absolute must have.","Must read, absolutely brilliant"
9,B00ABC1216,"[0, 0]",A1XYZ010,Peter Y.,1368144000,03 21 2013,5,"Outstanding quality and research. The writing is sharp, the ideas are original and the execution is flawless. A worthwhile investment.",Outstanding and informative
10,B00ABC1058,"[4, 8]",A1XYZ011,Sharon E.,1368230400,09 28 2012,4,This book blew my mind. The level of detail is impressive and the writing flows beautifully. I am so glad I decided to buy it.,"Beautifully crafted, deeply insightful"
11,B00ABC1001,"[2, 4]",A1XYZ012,Tom D.,1368316800,02 10 2015,3,An average book for an average price. Nothing memorable but nothing terrible.,Average book
12,B00ABC1390,"[1, 1]",A1XYZ013,Claire S.,1368403200,11 17 2013,1,Horrible writing style. The book feels like it was written in a hurry with lots of grammatical errors. Save your money.,"Hugely disappointing, fake reviews"
13,B00ABC1413,"[3, 5]",A1XYZ014,Ryan G.,1368489600,01 4 2014,5,I cannot say enough good things about this book. I learned so much from reading this book. Highly recommend to anyone interested in this topic.,Truly remarkable
